time,heading
1627319604.887166977,2.600008939
1627319604.897300482,2.600006551
1627319604.907252789,2.600018238
1627319604.917144537,2.600025181
1627319604.927294493,2.600027219
1627319604.937279463,2.600040572
1627319604.947225332,2.600027481
1627319604.957144260,2.600048948
1627319604.967259645,2.600049298
1627319604.977238178,2.600039117
1627319604.987317324,2.600022481
1627319604.997126102,2.600043795
1627319605.007750034,2.600056224
1627319605.017307520,2.600055722
1627319605.027295589,2.600055773
1627319605.037282467,2.600072656
1627319605.047227144,2.600071534
1627319605.057281971,2.600054549
1627319605.067415714,2.600064555
1627319605.077218533,2.600066681
1627319605.087273121,2.600089741
1627319605.097299576,2.600078803
1627319605.107234955,2.600082579
1627319605.117352962,2.600091405
1627319605.127093554,2.600099475
1627319605.137226343,2.600083633
1627319605.147178173,2.600094695
1627319605.157137871,2.600085242
1627319605.167297602,2.600119297
1627319605.177299023,2.600088828
1627319605.187271595,2.600092168
1627319605.197509050,2.600092182
1627319605.207364559,2.600087875
1627319605.217202187,2.600091106
1627319605.227277994,2.600097269
1627319605.237549782,2.600077464
1627319605.247408390,2.600088925
1627319605.257286549,2.600099433
1627319605.267309189,2.600070624
1627319605.277672768,2.600094433
1627319605.287199974,2.600085309
1627319605.297423840,2.600091180
1627319605.307351589,2.600090868
1627319605.317350149,2.600066040
1627319605.327085733,2.600068085
1627319605.337226391,2.600069730
1627319605.347079992,2.600071411
1627319605.357283831,2.600074131
1627319605.367268562,2.600080711
1627319605.377167940,2.600061390
1627319605.387258053,2.600076162
1627319605.397250414,2.600080091
1627319605.407185078,2.600060546
1627319605.417308092,2.600087056
1627319605.427239418,2.600093147
1627319605.437378407,2.600096763
1627319605.447230339,2.600085303
1627319605.457249880,2.600089720
1627319605.467207670,2.600090738
1627319605.477266788,2.600084451
1627319605.487239361,2.600087063
1627319605.497277737,2.600089262
1627319605.507518768,2.600088170
1627319605.517387390,2.600083482
1627319605.527330160,2.600086627
1627319605.537458181,2.600076120
1627319605.547299385,2.600096772
1627319605.557327747,2.600085639
1627319605.567292213,2.600072344
1627319605.577139616,2.600087612
1627319605.587227345,2.600080618
1627319605.597231150,2.600074659
1627319605.607176781,2.600073619
1627319605.617368937,2.600084200
1627319605.627183437,2.600081704
1627319605.637140512,2.600056358
1627319605.647317886,2.600069843
1627319605.657047510,2.600054364
1627319605.667321920,2.600048528
1627319605.677155733,2.600069443
1627319605.687082529,2.600062624
1627319605.697309494,2.600067973
1627319605.707127094,2.600065309
1627319605.717089176,2.600069727
1627319605.727241278,2.600074224
1627319605.737155199,2.600081952
1627319605.747296095,2.600062179
1627319605.757378101,2.600068133
1627319605.767345428,2.600065243
1627319605.777590752,2.600060018
1627319605.787259340,2.600070198
1627319605.797327042,2.600086856
1627319605.807356596,2.600084621
1627319605.817299128,2.600091200
1627319605.827203512,2.600091395
1627319605.837444782,2.600114332
1627319605.847279310,2.600129500
1627319605.857217550,2.600143988
1627319605.867242098,2.600136163
1627319605.877091408,2.600158770
1627319605.887293577,2.600160943
1627319605.897295713,2.600174605
1627319605.907259703,2.600187259
1627319605.917217255,2.600201883
1627319605.927165508,2.600221511
1627319605.937191963,2.600189092
1627319605.947125912,2.600215272
1627319605.957135916,2.600221034
1627319605.967232466,2.600221228
1627319605.977227211,2.600219131
1627319605.987206697,2.600232751
1627319605.997304678,2.600220651
1627319606.007256508,2.600227366
1627319606.017370224,2.600215561
