timestamp,camera_front
1627319958.872689009,0
1627319958.894826889,1
1627319958.928817987,2
1627319958.962660074,3
1627319958.995411873,4
1627319959.029248953,5
1627319959.062041998,6
1627319959.095957041,7
1627319959.128702879,8
1627319959.162667990,9
1627319959.195350885,10
1627319959.229352951,11
1627319959.262041092,12
1627319959.295979977,13
1627319959.328731060,14
1627319959.362673998,15
1627319959.395328999,16
1627319959.429303885,17
1627319959.462126017,18
1627319959.495925903,19
1627319959.528678894,20
1627319959.562723160,21
1627319959.595434904,22
1627319959.629201889,23
1627319959.662050009,24
1627319959.695965052,25
1627319959.728707075,26
1627319959.762571096,27
1627319959.795413017,28
1627319959.829252005,29
1627319959.862128019,30
1627319959.895898104,31
1627319959.928802967,32
1627319959.962588072,33
1627319959.995448112,34
1627319960.029299021,35
1627319960.062094927,36
1627319960.096028805,37
1627319960.128701925,38
1627319960.162563086,39
1627319960.195400000,40
1627319960.229333878,41
1627319960.262530088,42
1627319960.295989990,43
1627319960.328732967,44
1627319960.362637997,45
1627319960.395375013,46
1627319960.429343939,47
1627319960.462010860,48
1627319960.495974064,49
1627319960.528687000,50
1627319960.562742949,51
1627319960.595386028,52
1627319960.629408121,53
1627319960.662140131,54
1627319960.696030140,55
1627319960.728754997,56
1627319960.762632132,57
1627319960.795392036,58
1627319960.829246998,59
1627319960.862214088,60
1627319960.896049023,61
1627319960.928819895,62
1627319960.962791920,63
1627319960.995423079,64
1627319961.029419899,65
1627319961.062300920,66
1627319961.096029997,67
1627319961.128892899,68
1627319961.162856102,69
1627319961.195531130,70
1627319961.229341984,71
1627319961.262203932,72
1627319961.296077013,73
1627319961.328827858,74
1627319961.362742901,75
1627319961.395563126,76
1627319961.429365158,77
1627319961.462219954,78
1627319961.496140957,79
1627319961.528853893,80
1627319961.562890053,81
1627319961.595523119,82
1627319961.629425049,83
1627319961.662153006,84
1627319961.695898056,85
1627319961.728734016,86
1627319961.762593985,87
1627319961.795454979,88
1627319961.829504013,89
1627319961.862117052,90
1627319961.895902872,91
1627319961.928817987,92
1627319961.962553978,93
1627319961.995434999,94
1627319962.029381990,95
1627319962.062041998,96
1627319962.095983982,97
1627319962.128690958,98
1627319962.162572145,99
1627319962.195400953,100
1627319962.229239941,101
1627319962.262047052,102
1627319962.295889139,103
1627319962.328868866,104
1627319962.362615108,105
1627319962.395469904,106
1627319962.429284096,107
1627319962.462075949,108
1627319962.495989084,109
1627319962.528692007,110
1627319962.562741995,111
1627319962.595436811,112
1627319962.629403830,113
1627319962.662044048,114
1627319962.696008921,115
1627319962.728847027,116
1627319962.762577057,117
1627319962.795459032,118
1627319962.829311848,119
1627319962.862066984,120
1627319962.895952940,121
1627319962.928806067,122
1627319962.962719917,123
1627319962.995426893,124
1627319963.029243946,125
1627319963.062036037,126
1627319963.095957994,127
1627319963.128699064,128
1627319963.162549973,129
1627319963.195463181,130
1627319963.229271173,131
1627319963.262068987,132
1627319963.295915127,133
1627319963.328698158,134
1627319963.362709999,135
1627319963.395831108,136
1627319963.429419041,137
1627319963.462051868,138
1627319963.496006012,139
1627319963.528753042,140
1627319963.562713146,141
1627319963.595374107,142
1627319963.629348993,143
1627319963.662111998,144
1627319963.696000099,145
1627319963.728782892,146
1627319963.762650013,147
1627319963.795476913,148
1627319963.829325914,149
1627319963.862102985,150
1627319963.895943880,151
1627319963.928814173,152
1627319963.962588072,153
1627319963.995450020,154
1627319964.029421091,155
1627319964.062214136,156
1627319964.095940113,157
1627319964.128784895,158
1627319964.162724018,159
1627319964.195519924,160
1627319964.229310989,161
1627319964.262073040,162
1627319964.296078920,163
1627319964.328782082,164
1627319964.362683058,165
1627319964.395424128,166
1627319964.429390907,167
1627319964.462089062,168
1627319964.496026039,169
1627319964.528811932,170
1627319964.562625885,171
1627319964.595360994,172
1627319964.629338026,173
1627319964.662091017,174
1627319964.695928812,175
1627319964.728785038,176
1627319964.762706995,177
1627319964.795424938,178
1627319964.829277039,179
1627319964.862158060,180
1627319964.895977974,181
1627319964.928876877,182
1627319964.962736845,183
1627319964.995481014,184
1627319965.029242039,185
1627319965.062132120,186
1627319965.096035957,187
1627319965.128733873,188
1627319965.162642002,189
1627319965.195357084,190
1627319965.229331970,191
1627319965.262123108,192
1627319965.296038151,193
1627319965.328799963,194
1627319965.362684965,195
1627319965.395359993,196
1627319965.429335833,197
1627319965.462198019,198
1627319965.496036053,199
1627319965.528700113,200
1627319965.562686920,201
1627319965.595407963,202
1627319965.629403830,203
1627319965.662091970,204
1627319965.696012974,205
1627319965.728782892,206
1627319965.762678862,207
1627319965.795431137,208
1627319965.829314947,209
1627319965.862185001,210
1627319965.895962000,211
1627319965.928815126,212
1627319965.962718010,213
1627319965.995409012,214
1627319966.029320002,215
1627319966.062155962,216
1627319966.095901012,217
1627319966.128850937,218
1627319966.162721157,219
1627319966.195405006,220
1627319966.229344845,221
1627319966.262058973,222
1627319966.296234846,223
1627319966.328796148,224
1627319966.362720013,225
1627319966.395428896,226
1627319966.429393053,227
1627319966.462213039,228
1627319966.495990038,229
1627319966.528751850,230
1627319966.562839031,231
1627319966.595391989,232
1627319966.629322052,233
1627319966.662091017,234
1627319966.695951939,235
1627319966.728821993,236
1627319966.762719870,237
1627319966.795465946,238
1627319966.829298973,239
1627319966.862164974,240
1627319966.895949125,241
1627319966.928816080,242
1627319966.962739944,243
1627319966.995468855,244
1627319967.029269934,245
1627319967.062118053,246
1627319967.095957994,247
1627319967.128821135,248
1627319967.162753820,249
1627319967.195448160,250
1627319967.229325056,251
1627319967.262109995,252
1627319967.295892954,253
1627319967.328838110,254
1627319967.362682104,255
1627319967.395484924,256
1627319967.429255962,257
1627319967.462109089,258
1627319967.495959044,259
1627319967.528884888,260
1627319967.562659025,261
1627319967.595438004,262
1627319967.629400969,263
1627319967.662250996,264
1627319967.696063995,265
1627319967.728788137,266
1627319967.762712002,267
1627319967.795471191,268
1627319967.829290152,269
1627319967.862149000,270
1627319967.896121025,271
1627319967.928889990,272
1627319967.962668896,273
1627319967.995451927,274
1627319968.029294014,275
1627319968.062278032,276
1627319968.096014977,277
1627319968.128747940,278
1627319968.162657022,279
1627319968.195427895,280
1627319968.229363203,281
1627319968.262181997,282
1627319968.296044827,283
1627319968.328881025,284
1627319968.362619877,285
1627319968.395497084,286
1627319968.429500103,287
1627319968.462246180,288
1627319968.496047974,289
1627319968.528865099,290
1627319968.562706947,291
1627319968.595613003,292
1627319968.629424095,293
1627319968.662280083,294
1627319968.696102858,295
1627319968.728869915,296
1627319968.762768984,297
1627319968.795522928,298
1627319968.829434872,299
1627319968.862128019,300
1627319968.896219969,301
1627319968.928847075,302
1627319968.962779999,303
1627319968.995476961,304
1627319969.029338121,305
1627319969.062149048,306
1627319969.096013069,307
1627319969.128809929,308
1627319969.162722111,309
1627319969.195538044,310
1627319969.229413033,311
1627319969.262156010,312
1627319969.296091080,313
1627319969.328994036,314
1627319969.362803936,315
1627319969.395606041,316
1627319969.429357052,317
1627319969.462255001,318
1627319969.496099949,319
1627319969.528931141,320
1627319969.562772036,321
1627319969.595532894,322
1627319969.629503012,323
1627319969.662240028,324
1627319969.696109056,325
1627319969.728904963,326
1627319969.762813091,327
1627319969.795606136,328
1627319969.829504013,329
1627319969.862375975,330
1627319969.896113157,331
1627319969.929048061,332
1627319969.962839127,333
1627319969.995692968,334
1627319970.029526949,335
1627319970.062350988,336
1627319970.096123934,337
1627319970.128983974,338
1627319970.162916899,339
1627319970.195554018,340
1627319970.229543924,341
1627319970.262331963,342
1627319970.296146154,343
1627319970.328841925,344
1627319970.362913132,345
1627319970.395708084,346
1627319970.429546118,347
1627319970.462380171,348
1627319970.496376991,349
1627319970.528975010,350
1627319970.562908888,351
1627319970.595678806,352
1627319970.629548073,353
1627319970.662206173,354
1627319970.696120024,355
1627319970.728926897,356
1627319970.762871027,357
1627319970.795784950,358
1627319970.829526901,359
1627319970.862293959,360
1627319970.896118879,361
1627319970.929026842,362
1627319970.962783098,363
1627319970.995638132,364
1627319971.029489994,365
1627319971.062263012,366
1627319971.096240044,367
1627319971.128973961,368
1627319971.163146973,369
1627319971.195852995,370
1627319971.229671955,371
1627319971.262387991,372
1627319971.296247005,373
1627319971.329176903,374
1627319971.362977982,375
1627319971.395792007,376
1627319971.429848909,377
1627319971.462424994,378
1627319971.496243954,379
1627319971.529059887,380
1627319971.563446999,381
1627319971.595706940,382
1627319971.629684925,383
1627319971.662443876,384
1627319971.696288109,385
1627319971.729102850,386
1627319971.763036013,387
1627319971.795819044,388
1627319971.829556942,389
1627319971.862549067,390
1627319971.896286964,391
1627319971.929105997,392
1627319971.963077068,393
1627319971.995786905,394
1627319972.029625893,395
1627319972.062434912,396
1627319972.096292019,397
1627319972.129159927,398
1627319972.162925959,399
1627319972.195717096,400
1627319972.229750872,401
1627319972.262527943,402
1627319972.296353817,403
1627319972.329107046,404
1627319972.363059998,405
1627319972.395956993,406
1627319972.429584980,407
1627319972.462409019,408
1627319972.496565104,409
1627319972.529093981,410
1627319972.562985897,411
1627319972.595809937,412
1627319972.629578829,413
1627319972.662369967,414
1627319972.696205139,415
1627319972.729027033,416
1627319972.762902021,417
1627319972.795766115,418
1627319972.829568863,419
1627319972.862525940,420
1627319972.896531105,421
1627319972.929180145,422
1627319972.963026047,423
1627319972.995768070,424
1627319973.029899120,425
1627319973.062755108,426
1627319973.096306086,427
1627319973.129137993,428
1627319973.163101912,429
1627319973.195718050,430
1627319973.229650974,431
1627319973.262466908,432
1627319973.296346188,433
1627319973.329014063,434
1627319973.363008022,435
1627319973.395701885,436
1627319973.429590940,437
1627319973.462496042,438
1627319973.496273994,439
1627319973.529071093,440
1627319973.563008070,441
1627319973.595773935,442
1627319973.629752874,443
1627319973.662497044,444
1627319973.696356058,445
1627319973.729105949,446
1627319973.763329983,447
1627319973.795789003,448
1627319973.829714060,449
1627319973.862502813,450
1627319973.896440983,451
1627319973.929308891,452
1627319973.963058949,453
1627319973.995934963,454
1627319974.029644966,455
1627319974.062575102,456
1627319974.096358061,457
1627319974.129332066,458
1627319974.163069010,459
1627319974.195916891,460
1627319974.229685068,461
1627319974.262501955,462
1627319974.296455145,463
1627319974.329197168,464
1627319974.363019943,465
1627319974.396026850,466
1627319974.429778814,467
1627319974.462569952,468
1627319974.496361971,469
1627319974.529201984,470
1627319974.563094854,471
1627319974.595935822,472
1627319974.629800081,473
1627319974.662469864,474
1627319974.696264982,475
1627319974.729269028,476
1627319974.762960911,477
1627319974.795706987,478
1627319974.829665899,479
1627319974.862472057,480
1627319974.896189928,481
1627319974.928998947,482
1627319974.962934017,483
1627319974.995686054,484
1627319975.029491901,485
1627319975.062338114,486
1627319975.096222162,487
1627319975.129029989,488
1627319975.162885904,489
1627319975.195650101,490
1627319975.229486942,491
1627319975.262380123,492
1627319975.296151876,493
1627319975.328996181,494
1627319975.362879992,495
1627319975.395480156,496
1627319975.429448128,497
1627319975.462382078,498
1627319975.496155977,499
1627319975.528918982,500
1627319975.562793016,501
1627319975.595499039,502
1627319975.629453897,503
1627319975.662186861,504
1627319975.696120024,505
1627319975.728955984,506
1627319975.762775898,507
1627319975.795675993,508
1627319975.829447031,509
1627319975.862241030,510
1627319975.896050930,511
1627319975.928780079,512
1627319975.962802887,513
1627319975.995492935,514
1627319976.029356003,515
1627319976.062114954,516
1627319976.095996141,517
1627319976.128773928,518
1627319976.162634850,519
1627319976.195521116,520
1627319976.229424953,521
1627319976.262263060,522
1627319976.295985937,523
1627319976.328797102,524
1627319976.362794876,525
1627319976.395625114,526
1627319976.429473162,527
1627319976.462206125,528
1627319976.496006966,529
1627319976.529123068,530
1627319976.562114000,531
1627319976.595391035,532
1627319976.628968000,533
1627319976.662945986,534
1627319976.695371151,535
1627319976.728713036,536
