time,latitude,longitude,altitude,variance_latitude,variance_longitude,variance_altitude
1627329583.401577950,42.523273504,-71.601964379,111.996841431,0.001296000,0.001296000,0.005184000
1627329583.411699533,42.523273500,-71.601964372,111.996749878,0.001296000,0.001296000,0.005184000
1627329583.421716690,42.523273495,-71.601964363,111.996452332,0.001296000,0.001296000,0.005184000
1627329583.431584358,42.523273493,-71.601964359,111.996421814,0.001296000,0.001296000,0.005184000
1627329583.441731930,42.523273491,-71.601964354,111.996376038,0.001296000,0.001296000,0.005184000
1627329583.451653004,42.523273486,-71.601964346,111.996116638,0.001296000,0.001296000,0.005184000
1627329583.461608171,42.523273486,-71.601964344,111.996116638,0.001296000,0.001296000,0.005184000
1627329583.471709490,42.523273485,-71.601964341,111.996093750,0.001296000,0.001296000,0.005184000
1627329583.481665373,42.523273482,-71.601964335,111.995864868,0.001296000,0.001296000,0.005184000
1627329583.491603374,42.523273482,-71.601964335,111.995880127,0.001296000,0.001296000,0.005184000
1627329583.501575232,42.523273482,-71.601964333,111.995872498,0.001296000,0.001296000,0.005184000
1627329583.511718035,42.523273480,-71.601964329,111.995674133,0.001296000,0.001296000,0.005184000
1627329583.521629810,42.523273482,-71.601964331,111.995689392,0.001296000,0.001296000,0.005184000
1627329583.531699181,42.523273483,-71.601964331,111.995712280,0.001296000,0.001296000,0.005184000
1627329583.541530848,42.523273482,-71.601964328,111.995475769,0.001296000,0.001296000,0.005184000
1627329583.551637411,42.523273484,-71.601964331,111.995506287,0.001296000,0.001296000,0.005184000
1627329583.561585426,42.523273486,-71.601964332,111.995529175,0.001296000,0.001296000,0.005184000
1627329583.571542025,42.523273486,-71.601964331,111.995315552,0.001296000,0.001296000,0.005184000
1627329583.581649065,42.523273488,-71.601964335,111.995353699,0.001296000,0.001296000,0.005184000
1627329583.591629028,42.523273491,-71.601964338,111.995376587,0.001296000,0.001296000,0.005184000
1627329583.601545334,42.523273490,-71.601964337,111.995185852,0.001296000,0.001296000,0.005184000
1627329583.611505747,42.523273493,-71.601964341,111.995231628,0.001296000,0.001296000,0.005184000
1627329583.621440649,42.523273495,-71.601964344,111.995269775,0.001296000,0.001296000,0.005184000
1627329583.631567955,42.523273494,-71.601964344,111.995086670,0.001296000,0.001296000,0.005184000
1627329583.641673803,42.523273496,-71.601964347,111.995124817,0.001296000,0.001296000,0.005184000
1627329583.651638508,42.523273498,-71.601964351,111.995162964,0.001296000,0.001296000,0.005184000
1627329583.661574841,42.523273497,-71.601964349,111.994911194,0.001296000,0.001296000,0.005184000
1627329583.671659470,42.523273498,-71.601964351,111.994918823,0.001296000,0.001296000,0.005184000
1627329583.681489468,42.523273500,-71.601964354,111.994949341,0.001296000,0.001296000,0.005184000
1627329583.691729784,42.523273498,-71.601964352,111.994682312,0.001296000,0.001296000,0.005184000
1627329583.701692581,42.523273499,-71.601964353,111.994667053,0.001296000,0.001296000,0.005184000
1627329583.711660862,42.523273500,-71.601964355,111.994674683,0.001296000,0.001296000,0.005184000
1627329583.721627474,42.523273498,-71.601964352,111.994400024,0.001296000,0.001296000,0.005184000
1627329583.731682301,42.523273499,-71.601964353,111.994407654,0.001296000,0.001296000,0.005184000
1627329583.741695642,42.523273499,-71.601964354,111.994407654,0.001296000,0.001296000,0.005184000
1627329583.751646757,42.523273497,-71.601964349,111.994178772,0.001296000,0.001296000,0.005184000
1627329583.761595726,42.523273497,-71.601964348,111.994209290,0.001296000,0.001296000,0.005184000
1627329583.771554470,42.523273497,-71.601964348,111.994209290,0.001296000,0.001296000,0.005184000
1627329583.781497717,42.523273494,-71.601964342,111.994049072,0.001296000,0.001296000,0.005184000
1627329583.791615963,42.523273494,-71.601964339,111.994132996,0.001296000,0.001296000,0.005184000
1627329583.801565647,42.523273493,-71.601964338,111.994186401,0.001296000,0.001296000,0.005184000
1627329583.811574697,42.523273490,-71.601964330,111.994079590,0.001296000,0.001296000,0.005184000
1627329583.821635485,42.523273488,-71.601964326,111.994209290,0.001296000,0.001296000,0.005184000
1627329583.831598520,42.523273487,-71.601964323,111.994308472,0.001296000,0.001296000,0.005184000
1627329583.841572523,42.523273483,-71.601964314,111.994247437,0.001296000,0.001296000,0.005184000
1627329583.851664543,42.523273480,-71.601964308,111.994384766,0.001296000,0.001296000,0.005184000
1627329583.861436367,42.523273478,-71.601964303,111.994514465,0.001296000,0.001296000,0.005184000
1627329583.871697664,42.523273473,-71.601964292,111.994476318,0.001296000,0.001296000,0.005184000
1627329583.881643057,42.523273469,-71.601964284,111.994621277,0.001296000,0.001296000,0.005184000
1627329583.891634703,42.523273466,-71.601964278,111.994750977,0.001296000,0.001296000,0.005184000
1627329583.901567936,42.523273460,-71.601964266,111.994705200,0.001296000,0.001296000,0.005184000
1627329583.911995888,42.523273456,-71.601964257,111.994796753,0.001296000,0.001296000,0.005184000
1627329583.921956062,42.523273452,-71.601964249,111.994926453,0.001296000,0.001296000,0.005184000
1627329583.931600332,42.523273445,-71.601964235,111.994812012,0.001296000,0.001296000,0.005184000
1627329583.941700220,42.523273439,-71.601964224,111.994857788,0.001296000,0.001296000,0.005184000
1627329583.951458454,42.523273434,-71.601964215,111.994949341,0.001296000,0.001296000,0.005184000
1627329583.961602688,42.523273426,-71.601964200,111.994789124,0.001296000,0.001296000,0.005184000
1627329583.971572399,42.523273420,-71.601964188,111.994789124,0.001296000,0.001296000,0.005184000
1627329583.981642246,42.523273415,-71.601964177,111.994827271,0.001369000,0.001296000,0.005041000
1627329583.991687298,42.523273406,-71.601964160,111.994621277,0.001369000,0.001296000,0.005041000
1627329584.001596928,42.523273399,-71.601964147,111.994575500,0.001369000,0.001296000,0.005041000
1627329584.011557341,42.523273393,-71.601964134,111.994560242,0.001369000,0.001296000,0.005041000
1627329584.021644831,42.523273384,-71.601964117,111.994316101,0.001369000,0.001296000,0.005041000
1627329584.031595707,42.523273376,-71.601964102,111.994201660,0.001369000,0.001296000,0.005041000
1627329584.041700840,42.523273369,-71.601964089,111.994140625,0.001369000,0.001296000,0.005041000
1627329584.051726103,42.523273359,-71.601964070,111.993850708,0.001369000,0.001296000,0.005041000
1627329584.061644554,42.523273351,-71.601964054,111.993690491,0.001369000,0.001296000,0.005041000
1627329584.071641207,42.523273344,-71.601964040,111.993568420,0.001369000,0.001296000,0.005041000
1627329584.081532955,42.523273334,-71.601964020,111.993240356,0.001369000,0.001296000,0.005041000
1627329584.091678858,42.523273325,-71.601964004,111.993064880,0.001369000,0.001296000,0.005041000
1627329584.101650953,42.523273317,-71.601963988,111.992904663,0.001369000,0.001296000,0.005041000
1627329584.111708879,42.523273307,-71.601963968,111.992584229,0.001369000,0.001296000,0.005041000
1627329584.121651411,42.523273298,-71.601963951,111.992393494,0.001369000,0.001296000,0.005041000
1627329584.131625175,42.523273290,-71.601963934,111.992195129,0.001369000,0.001296000,0.005041000
1627329584.141578197,42.523273279,-71.601963914,111.991859436,0.001369000,0.001296000,0.005041000
1627329584.151661396,42.523273271,-71.601963896,111.991653442,0.001369000,0.001296000,0.005041000
1627329584.161577702,42.523273263,-71.601963879,111.991470337,0.001369000,0.001296000,0.005041000
1627329584.171710968,42.523273252,-71.601963857,111.991111755,0.001369000,0.001296000,0.005041000
1627329584.181551456,42.523273243,-71.601963840,111.990913391,0.001369000,0.001296000,0.005041000
1627329584.191540003,42.523273235,-71.601963822,111.990722656,0.001369000,0.001296000,0.005041000
1627329584.201734304,42.523273224,-71.601963800,111.990379333,0.001369000,0.001296000,0.005041000
1627329584.211580276,42.523273216,-71.601963782,111.990196228,0.001369000,0.001296000,0.005041000
1627329584.221673489,42.523273207,-71.601963765,111.990005493,0.001369000,0.001296000,0.005041000
1627329584.231624126,42.523273196,-71.601963743,111.989677429,0.001369000,0.001296000,0.005041000
1627329584.241583824,42.523273188,-71.601963726,111.989501953,0.001369000,0.001296000,0.005041000
1627329584.251535892,42.523273180,-71.601963708,111.989326477,0.001369000,0.001296000,0.005041000
1627329584.261470795,42.523273169,-71.601963687,111.989021301,0.001369000,0.001296000,0.005041000
1627329584.271648645,42.523273161,-71.601963669,111.988845825,0.001369000,0.001296000,0.005041000
1627329584.281676531,42.523273152,-71.601963651,111.988685608,0.001369000,0.001296000,0.005041000
1627329584.291514635,42.523273141,-71.601963631,111.988418579,0.001369000,0.001296000,0.005041000
1627329584.301674843,42.523273133,-71.601963614,111.988281250,0.001369000,0.001296000,0.005041000
1627329584.311604738,42.523273125,-71.601963596,111.988105774,0.001369000,0.001296000,0.005041000
1627329584.321676254,42.523273114,-71.601963576,111.987854004,0.001369000,0.001296000,0.005041000
1627329584.331616163,42.523273106,-71.601963559,111.987724304,0.001369000,0.001296000,0.005041000
1627329584.341551065,42.523273098,-71.601963542,111.987556458,0.001369000,0.001296000,0.005041000
1627329584.351531506,42.523273088,-71.601963523,111.987304688,0.001369000,0.001296000,0.005041000
1627329584.361500502,42.523273081,-71.601963508,111.987121582,0.001369000,0.001296000,0.005041000
1627329584.371663570,42.523273073,-71.601963491,111.987014771,0.001369000,0.001296000,0.005041000
1627329584.381539822,42.523273063,-71.601963473,111.986755371,0.001369000,0.001296000,0.005041000
1627329584.391962290,42.523273056,-71.601963459,111.986587524,0.001369000,0.001296000,0.005041000
1627329584.401754379,42.523273049,-71.601963444,111.986419678,0.001369000,0.001296000,0.005041000
1627329584.411623716,42.523273041,-71.601963435,111.986961365,0.001369000,0.001296000,0.005041000
1627329584.421676874,42.523273035,-71.601963422,111.986801147,0.001369000,0.001296000,0.005041000
1627329584.431617737,42.523273028,-71.601963408,111.986618042,0.001369000,0.001296000,0.005041000
1627329584.441710711,42.523273020,-71.601963400,111.987144470,0.001369000,0.001296000,0.005041000
1627329584.451668978,42.523273015,-71.601963388,111.986953735,0.001369000,0.001296000,0.005041000
1627329584.461660147,42.523273009,-71.601963376,111.986770630,0.001369000,0.001296000,0.005041000
1627329584.471654177,42.523273002,-71.601963369,111.987228394,0.001369000,0.001296000,0.005041000
1627329584.481700182,42.523272998,-71.601963360,111.987007141,0.001369000,0.001296000,0.005041000
1627329584.491658211,42.523272992,-71.601963349,111.986808777,0.001369000,0.001296000,0.005041000
1627329584.501672983,42.523272987,-71.601963344,111.987197876,0.001369000,0.001296000,0.005041000
1627329584.511743546,42.523272984,-71.601963338,111.986907959,0.001369000,0.001296000,0.005041000
1627329584.521491766,42.523272980,-71.601963329,111.986679077,0.001369000,0.001296000,0.005041000
1627329584.531719923,42.523272976,-71.601963327,111.986984253,0.001369000,0.001296000,0.005041000
1627329584.541569710,42.523272974,-71.601963323,111.986633301,0.001369000,0.001296000,0.005041000
1627329584.551656246,42.523272972,-71.601963316,111.986343384,0.001369000,0.001296000,0.005041000
1627329584.561607361,42.523272970,-71.601963318,111.986541748,0.001369000,0.001296000,0.005041000
1627329584.571580410,42.523272970,-71.601963318,111.986114502,0.001369000,0.001296000,0.005041000
1627329584.581500292,42.523272969,-71.601963314,111.985748291,0.001369000,0.001296000,0.005041000
1627329584.591648340,42.523272969,-71.601963319,111.985847473,0.001369000,0.001296000,0.005041000
1627329584.601576328,42.523272971,-71.601963323,111.985351562,0.001369000,0.001296000,0.005041000
1627329584.611563444,42.523272972,-71.601963324,111.984909058,0.001369000,0.001296000,0.005041000
1627329584.621476173,42.523272974,-71.601963333,111.984924316,0.001369000,0.001296000,0.005041000
1627329584.631657124,42.523272978,-71.601963341,111.984390259,0.001369000,0.001296000,0.005041000
1627329584.641570568,42.523272981,-71.601963346,111.983901978,0.001369000,0.001296000,0.005041000
1627329584.651677132,42.523272985,-71.601963359,111.983863831,0.001369000,0.001296000,0.005041000
