time,latitude,longitude,altitude,variance_latitude,variance_longitude,variance_altitude
1627339586.182725906,42.523314385,-71.602035678,111.745162964,0.015625000,0.015876000,0.049729000
1627339586.192671061,42.523314385,-71.602035677,111.745178223,0.015625000,0.015876000,0.049729000
1627339586.202772856,42.523314387,-71.602035678,111.745155334,0.015625000,0.015876000,0.049729000
1627339586.212707281,42.523314386,-71.602035677,111.745170593,0.015625000,0.015876000,0.049729000
1627339586.222668648,42.523314386,-71.602035676,111.745185852,0.015625000,0.015876000,0.049729000
1627339586.232779026,42.523314387,-71.602035677,111.745162964,0.015625000,0.015876000,0.049729000
1627339586.242863178,42.523314387,-71.602035676,111.745170593,0.015625000,0.015876000,0.049729000
1627339586.252757549,42.523314387,-71.602035675,111.745185852,0.015625000,0.015876000,0.049729000
1627339586.262827873,42.523314388,-71.602035676,111.745140076,0.015625000,0.015876000,0.049729000
1627339586.272858381,42.523314388,-71.602035675,111.745155334,0.015625000,0.015876000,0.049729000
1627339586.282731771,42.523314388,-71.602035674,111.745170593,0.015625000,0.015876000,0.049729000
1627339586.292822123,42.523314389,-71.602035675,111.745124817,0.015625000,0.015876000,0.049729000
1627339586.302753448,42.523314389,-71.602035674,111.745140076,0.015625000,0.015876000,0.049729000
1627339586.312772274,42.523314389,-71.602035673,111.745155334,0.015625000,0.015876000,0.049729000
1627339586.322811842,42.523314390,-71.602035673,111.745117188,0.015625000,0.015876000,0.049729000
1627339586.332760334,42.523314390,-71.602035672,111.745132446,0.015625000,0.015876000,0.049729000
1627339586.342732906,42.523314389,-71.602035671,111.745140076,0.015625000,0.015876000,0.049729000
1627339586.352655411,42.523314391,-71.602035672,111.745109558,0.015625000,0.015876000,0.049729000
1627339586.362777472,42.523314390,-71.602035671,111.745117188,0.015625000,0.015876000,0.049729000
1627339586.372702837,42.523314390,-71.602035670,111.745132446,0.015625000,0.015876000,0.049729000
1627339586.382705688,42.523314391,-71.602035672,111.745155334,0.015625000,0.015876000,0.049729000
1627339586.392627716,42.523314391,-71.602035671,111.745170593,0.015625000,0.015876000,0.049729000
1627339586.402583122,42.523314391,-71.602035671,111.745185852,0.015625000,0.015876000,0.049729000
1627339586.412689924,42.523314392,-71.602035673,111.745208740,0.015625000,0.015876000,0.049729000
1627339586.422781229,42.523314392,-71.602035672,111.745223999,0.015625000,0.015876000,0.049729000
1627339586.432610273,42.523314391,-71.602035671,111.745246887,0.015625000,0.015876000,0.049729000
