time,steering
1627339586.042497396,-8.880845825
1627339586.075520277,-8.880845825
1627339586.108858585,-8.880845825
1627339586.141083002,-8.880845825
1627339586.174923420,-8.880845825
1627339586.209168911,-8.880845825
1627339586.241490602,-8.880845825
1627339586.276643991,-8.880845825
1627339586.309731245,-8.880845825
1627339586.342247009,-8.880845825
1627339586.376920700,-8.880845825
1627339586.410236120,-8.880845825
1627339586.442771196,-8.880845825
1627339586.476643562,-8.880845825
1627339586.509803772,-8.880845825
1627339586.543313742,-8.880845825
1627339586.579062223,-8.880845825
1627339586.612380028,-8.880845825
1627339586.643756151,-8.880845825
1627339586.679169655,-8.880845825
1627339586.711888790,-8.880845825
1627339586.744694233,-8.880845825
1627339586.778743029,-8.880845825
1627339586.812628031,-8.880845825
1627339586.845390558,-8.880845825
1627339586.878813267,-8.880845825
1627339586.912239790,-8.880845825
1627339586.946020842,-8.880845825
1627339586.980411291,-8.880845825
1627339587.013660669,-8.880845825
1627339587.046510220,-8.880845825
1627339587.079932213,-8.880845825
1627339587.113212585,-8.880845825
1627339587.146966934,-8.880845825
1627339587.181355476,-8.880845825
1627339587.214188337,-8.880845825
1627339587.247314215,-8.880845825
1627339587.281457901,-8.880845825
1627339587.315671921,-8.880845825
1627339587.347474813,-8.880845825
1627339587.381897449,-8.880845825
1627339587.415269375,-8.880845825
1627339587.447414160,-8.880845825
1627339587.482239008,-8.880845825
1627339587.515679121,-8.880845825
1627339587.547821283,-8.880845825
1627339587.581641674,-8.880845825
1627339587.616126060,-8.880845825
1627339587.648433685,-8.880845825
1627339587.682158709,-8.880845825
1627339587.716468573,-8.880845825
1627339587.748793125,-8.880845825
1627339587.783555508,-8.880845825
1627339587.816845417,-8.880845825
1627339587.849281788,-8.880845825
1627339587.883926630,-8.880845825
1627339587.917211294,-8.880845825
1627339587.949364424,-8.880845825
1627339587.983277082,-8.880845825
1627339588.017690182,-8.880845825
1627339588.049977541,-8.880845825
1627339588.083633900,-8.880845825
1627339588.118036985,-8.880845825
1627339588.150260448,-8.880845825
1627339588.184165955,-8.880845825
1627339588.217592478,-8.880845825
1627339588.250679255,-8.880845825
1627339588.285562754,-8.880845825
1627339588.318901539,-8.880845825
1627339588.351066828,-8.880845825
1627339588.384968281,-8.880845825
1627339588.418332815,-8.880845825
1627339588.451527834,-8.880845825
1627339588.486462355,-8.880845825
1627339588.519906044,-8.880845825
1627339588.552046299,-8.880845825
1627339588.586934328,-8.880845825
1627339588.620193481,-8.880845825
