time,heading
1627339798.123454571,1.185511470
1627339798.133307457,1.185524242
1627339798.143237352,1.185526253
1627339798.153376818,1.185514812
1627339798.163322449,1.185544147
1627339798.173362732,1.185511284
1627339798.183226585,1.185527900
1627339798.193302631,1.185511188
1627339798.203256607,1.185540539
1627339798.213353634,1.185529502
1627339798.223364115,1.185549421
1627339798.233294964,1.185549671
1627339798.243186712,1.185527726
1627339798.253352642,1.185515372
1627339798.263606071,1.185542246
1627339798.273240805,1.185517451
1627339798.283402205,1.185534159
1627339798.293425083,1.185532956
1627339798.303401709,1.185536908
1627339798.313363791,1.185549054
1627339798.323325157,1.185561365
1627339798.333281755,1.185574486
1627339798.343204975,1.185587263
1627339798.353154421,1.185573657
1627339798.363427401,1.185614706
1627339798.373382568,1.185578309
1627339798.383401155,1.185606112
1627339798.393270493,1.185582893
1627339798.403394461,1.185608770
1627339798.413380623,1.185607665
1627339798.423381090,1.185625797
1627339798.433279514,1.185603376
1627339798.443343639,1.185639670
1627339798.453314543,1.185638453
1627339798.463302135,1.185636184
1627339798.473375320,1.185609413
1627339798.483352661,1.185622281
1627339798.493618965,1.185637677
1627339798.503233194,1.185626593
1627339798.513359070,1.185609012
1627339798.523441315,1.185633364
1627339798.533440351,1.185609986
1627339798.543748617,1.185610904
1627339798.553311348,1.185615184
1627339798.563428640,1.185633841
1627339798.573255301,1.185615262
1627339798.583410978,1.185631388
1627339798.593283892,1.185627387
1627339798.603435755,1.185621147
1627339798.613392353,1.185597881
1627339798.623459339,1.185610363
1627339798.633259535,1.185591099
1627339798.643363714,1.185588698
1627339798.653296232,1.185586186
1627339798.663317442,1.185590402
1627339798.673412800,1.185588129
1627339798.683346987,1.185607113
1627339798.693308830,1.185596293
1627339798.703420162,1.185617268
1627339798.713349581,1.185591695
1627339798.723441839,1.185605552
1627339798.733416080,1.185613249
1627339798.743350983,1.185613616
1627339798.753278971,1.185639958
1627339798.763254881,1.185613489
1627339798.773353338,1.185613252
1627339798.783344746,1.185610151
1627339798.793420792,1.185640792
1627339798.803379059,1.185647822
1627339798.813318253,1.185639595
1627339798.823403358,1.185636159
1627339798.833409548,1.185635034
1627339798.843394279,1.185659533
1627339798.853377581,1.185672874
1627339798.863413572,1.185687839
1627339798.873365641,1.185689907
1627339798.883369684,1.185683599
1627339798.893372536,1.185682542
1627339798.903357267,1.185690499
1627339798.913318872,1.185702644
1627339798.923376083,1.185681403
1627339798.933182001,1.185712487
1627339798.943316936,1.185723643
1627339798.953303576,1.185709220
1627339798.963371277,1.185736546
1627339798.973355055,1.185730095
1627339798.983269930,1.185720168
1627339798.993202448,1.185722042
1627339799.003330469,1.185714020
1627339799.013471603,1.185725560
1627339799.023420334,1.185738511
1627339799.033707142,1.185753796
1627339799.043288946,1.185736344
1627339799.053382397,1.185757228
1627339799.063357353,1.185769718
1627339799.073388338,1.185735771
1627339799.083487988,1.185748873
1627339799.093414307,1.185775635
1627339799.103394032,1.185767023
1627339799.113349199,1.185790344
1627339799.123395681,1.185769800
1627339799.133375883,1.185760732
1627339799.143342495,1.185768933
1627339799.153303385,1.185785876
1627339799.163413048,1.185783984
1627339799.173450470,1.185772872
1627339799.183391571,1.185787944
1627339799.193324327,1.185769935
1627339799.203327417,1.185786602
1627339799.213283539,1.185775502
1627339799.223234415,1.185776431
1627339799.233404160,1.185767003
1627339799.243272781,1.185772419
1627339799.253383636,1.185743619
1627339799.263496637,1.185740154
1627339799.273329020,1.185732740
1627339799.283420324,1.185725328
1627339799.293407917,1.185744112
1627339799.303321123,1.185730550
1627339799.313462257,1.185717156
1627339799.323348522,1.185745641
1627339799.333323717,1.185727797
1627339799.343256712,1.185736269
1627339799.353372335,1.185748737
1627339799.363346577,1.185771091
1627339799.373407841,1.185787222
1627339799.383279562,1.185816415
1627339799.393155336,1.185832599
1627339799.403312206,1.185827734
1627339799.413252354,1.185851860
1627339799.423187256,1.185874533
1627339799.433321238,1.185875706
1627339799.443375587,1.185889429
