time,steering
1627339798.078753948,-60.160568489
1627339798.109485626,-60.160568489
1627339798.142834663,-60.160568489
1627339798.177166939,-60.160568489
1627339798.209962130,-60.160568489
1627339798.244184017,-60.160568489
1627339798.277590752,-60.160568489
1627339798.310189724,-60.160568489
1627339798.344437361,-60.160568489
1627339798.377920866,-60.160568489
1627339798.410125732,-60.160568489
1627339798.444981337,-60.160568489
1627339798.478325367,-60.160568489
1627339798.510540247,-60.160568489
1627339798.545514345,-60.160568489
1627339798.578705549,-60.160568489
1627339798.612016439,-60.160568489
1627339798.644878149,-60.160568489
1627339798.679220438,-60.160568489
1627339798.711445570,-60.160568489
1627339798.746323824,-60.160568489
1627339798.779523611,-60.160568489
1627339798.811859369,-60.160568489
1627339798.846702814,-60.160568489
1627339798.879979849,-60.160568489
1627339798.912302256,-60.160568489
1627339798.946048260,-60.160568489
1627339798.980416536,-60.160568489
1627339799.012689590,-60.160568489
1627339799.047601700,-60.160568489
1627339799.080948353,-60.160568489
1627339799.113294601,-60.160568489
1627339799.148128748,-60.160568489
1627339799.181406498,-60.160568489
1627339799.213744640,-60.160568489
1627339799.247786045,-60.160568489
1627339799.282013178,-60.160568489
1627339799.314095736,-60.160568489
1627339799.347896099,-60.160568489
1627339799.381423950,-60.160568489
1627339799.415344000,-60.160568489
1627339799.448737621,-60.160568489
1627339799.482061148,-60.160568489
1627339799.515933514,-60.160568489
1627339799.549321651,-60.160568489
1627339799.582668066,-60.160568489
1627339799.616623640,-60.160568489
1627339799.649881601,-60.160568489
1627339799.684622288,-60.160568489
1627339799.717173815,-60.160568489
1627339799.751430750,-60.160568489
1627339799.785244226,-60.160568489
1627339799.816677809,-60.160568489
1627339799.852405548,-60.160568489
1627339799.884620428,-60.160568489
1627339799.916991472,-60.160568489
1627339799.950882912,-60.160568489
1627339799.984105587,-60.160568489
1627339800.017479658,-60.160568489
1627339800.052283049,-60.160568489
1627339800.085665464,-60.160568489
1627339800.117890120,-60.045976930
1627339800.153732777,-60.045976930
1627339800.185968876,-60.045976930
1627339800.219294071,-60.045976930
1627339800.253620148,-59.988681150
1627339800.287246943,-59.988681150
1627339800.319522381,-59.988681150
1627339800.352931261,-59.988681150
1627339800.387583017,-59.988681150
1627339800.419829607,-59.988681150
1627339800.454054117,-59.988681150
1627339800.486777306,-59.988681150
1627339800.520302534,-59.988681150
1627339800.554519892,-59.988681150
1627339800.586925507,-59.988681150
1627339800.620672941,-59.988681150
1627339800.654116392,-59.988681150
1627339800.688137054,-59.988681150
1627339800.720979214,-59.988681150
1627339800.755194426,-59.988681150
1627339800.787631750,-59.988681150
1627339800.821352482,-59.988681150
1627339800.855596542,-59.988681150
1627339800.888067484,-59.988681150
1627339800.921676874,-59.988681150
1627339800.956193924,-59.988681150
1627339800.990436792,-59.988681150
1627339801.021877766,-59.988681150
1627339801.056678772,-59.988681150
1627339801.089921713,-59.988681150
1627339801.122244358,-59.988681150
1627339801.157015562,-59.988681150
1627339801.190327644,-59.988681150
1627339801.222760916,-59.988681150
1627339801.256438732,-59.988681150
1627339801.290793419,-59.988681150
1627339801.323805332,-59.988681150
1627339801.357930422,-59.988681150
1627339801.391154051,-59.988681150
1627339801.423761368,-59.988681150
1627339801.458414316,-59.988681150
1627339801.491785049,-59.988681150
1627339801.524714231,-59.988681150
1627339801.558898449,-59.988681150
1627339801.592610836,-59.988681150
1627339801.624353409,-59.988681150
1627339801.659606457,-59.988681150
1627339801.692960978,-59.988681150
1627339801.725922585,-59.988681150
1627339801.760105133,-59.988681150
1627339801.792568207,-59.988681150
1627339801.826464653,-59.988681150
1627339801.860639095,-59.988681150
1627339801.894606113,-59.988681150
1627339801.927093029,-59.988681150
1627339801.961382866,-59.988681150
1627339801.994183779,-59.988681150
1627339802.026439428,-59.988681150
1627339802.060255766,-59.988681150
1627339802.095669746,-59.988681150
1627339802.126924276,-59.988681150
1627339802.160664797,-59.988681150
1627339802.195191622,-59.988681150
1627339802.227381706,-59.988681150
1627339802.262179375,-59.988681150
1627339802.295555830,-59.988681150
1627339802.327962637,-59.988681150
1627339802.362621069,-59.988681150
1627339802.395960808,-59.988681150
1627339802.428168535,-59.988681150
1627339802.462255478,-59.988681150
1627339802.496428013,-59.988681150
1627339802.528769732,-59.988681150
1627339802.562568903,-59.988681150
1627339802.596983671,-59.988681150
1627339802.629280806,-59.988681150
1627339802.664148569,-59.988681150
1627339802.697507143,-59.988681150
1627339802.729642868,-59.988681150
1627339802.765561104,-59.988681150
1627339802.798800707,-59.988681150
1627339802.831268549,-59.988681150
1627339802.865453720,-59.988681150
1627339802.899301291,-59.988681150
1627339802.931571484,-59.988681150
1627339802.965817690,-59.988681150
1627339802.999651194,-59.988681150
1627339803.031067610,-59.988681150
1627339803.065387487,-59.988681150
1627339803.098706484,-59.988681150
